Asynchronous FIFO,asyncfifo_thumbial.png,./proj/proj_asyncfifo.html,Digital Logic, Verilog, HDL, Asynchronous Logic
Master's Thesis,LLC_thumbnail.png,https://github.com/greenestnick/Neural-Network-based-Parameter-Identification-for-a-Resonant-Converter,Power Electronics,LTSpice,Python,Neural Networks,Pytorch
Bayesian Deblurring,deblur_thumbnail.png,./proj/proj_bayes.html,Bayesian Statistics,Markov Chain Monte Carlo,Matlab,Image Processing
Raycasting Engine,raycaster_thumbnail.png,https://github.com/greenestnick/RaycasterEngine,C Programming,Make Files,Graphics,Video Game
Systolic Array,SystolicArrayTumbnail.png,https://github.com/greenestnick/ToySystolicArray,HDL,Verilog,Digital Logic,Computer Architecture
